Team,Player 1,Player 2
Team 1,Avery Anderson,Blake Brooks
Team 2,Casey Campbell,Drew Diaz
Team 3,Emerson Evans,Finley Foster
Team 4,Gray Garcia,Harper Hayes
Team 5,Indy Iverson,Jules Jenkins
Team 6,Kai King,Logan Lewis
Team 7,Morgan Mitchell,Nico Nguyen
Team 8,Oakley Owens,Parker Parker
Team 9,Quincy Quinn,Reese Rivera
Team 10,Sawyer Simmons,Taylor Turner
Team 11,Uma Underwood,Vic Valdez
Team 12,Wyatt Walker,Yuri Young
Team 13,Alex Bennett,Ben Carter
Team 14,Chris Franklin,Dylan Griffin
Team 15,Eli Hudson,Finn Ingram
Team 16,Gabe Lawson,Hugo Monroe
Team 17,Ian Norris,Jesse Preston
Team 18,Miles Dawson,Noah Ellis
